Loading configuration file "../inputs/tiny.inp" ...
Initializing simulation state ...
# x y z u v w
5.2383 1.40069 0.960364 0.0353219 0.0333751 -0.0543439
4.97741 1.63636 1.12834 -0.00807299 -0.0422205 0.0277391
5.01339 1.83515 0.848933 -0.0214554 -0.0411752 -0.0266666
4.83257 1.82744 0.703724 0.0361656 -0.0469911 0.0164115
4.82802 1.33555 0.937426 0.0364491 0.0185051 -0.0529743
5.24086 1.86742 1.01486 0.0374045 -0.0101757 -0.0448349
5.335 1.68875 0.746928 0.117096 -0.0668619 0.0100277
5.31799 1.77028 0.755183 0.102741 -0.073899 0.00796791
5.04417 1.59165 0.729719 -0.0298981 -0.0163531 0.0134951
5.2433 1.46614 0.942045 0.0394017 0.0341672 -0.0534846
5.08652 1.66969 0.729797 -0.0343332 -0.0591435 0.0134819
5.29709 1.54791 1.20914 0.0850715 0.00748253 0.0963635
5.08311 1.53344 0.625766 -0.0343422 0.0142477 0.00222899
4.86535 1.27114 1.01204 0.0314888 0.00248975 -0.0457839
5.20864 1.33686 0.935654 0.0125688 0.0188666 -0.0527488
5.34366 1.7951 1.10873 0.12468 -0.0656824 0.0116458
5.05591 1.81524 1.00249 -0.032066 -0.0551163 -0.0486355
5.2877 1.6656 0.816636 0.077053 -0.0572726 -0.0134123
5.20837 1.37529 0.987635 0.012375 0.0286549 -0.0519186
5.11192 1.55313 0.928881 -0.032041 0.00487837 -0.0517383
5.25709 1.69657 0.761418 0.0509028 -0.0694884 0.00625442
4.80408 1.50449 0.815936 0.0363844 0.0253405 -0.0131289
5.16856 1.30571 1.19299 -0.0123787 0.0103307 0.0827419
5.33949 1.29884 1.0835 0.120975 0.00855804 -0.00752856
5.13987 1.44834 0.750685 -0.0248287 0.0358534 0.00912045
4.82296 1.31037 1.00888 0.0366559 0.0115681 -0.0467928
4.88365 1.42499 0.847579 0.0270313 0.0358288 -0.0261158
5.08758 1.78748 0.828074 -0.0343163 -0.0687644 -0.0180922
4.84346 1.43739 1.2319 0.0351148 0.036147 0.117795
4.97051 1.34178 0.787402 -0.00527369 0.0202179 -0.00215749
5.29085 1.51417 1.01349 0.0797432 0.0220272 -0.0453003
5.26878 1.42879 1.16586 0.0608372 0.0359975 0.0597535
4.96876 1.7002 0.770709 -0.00455596 -0.0705873 0.00346814
5.12557 1.77863 0.744528 -0.0291379 -0.0717188 0.0105798
5.10182 1.542 0.661049 -0.0334305 0.0103342 0.0145039
4.8722 1.60877 0.631123 0.0299648 -0.0263702 0.00630275
5.33466 1.5872 0.873089 0.116806 -0.013775 -0.0360963
5.24194 1.51129 0.714729 0.0382875 0.0230569 0.0155329
4.83176 1.82208 0.650243 0.0362224 -0.0507227 0.0125077
5.10688 1.76267 0.778931 -0.0328152 -0.0753775 0.000788975
5.13365 1.28146 1.22985 -0.0268613 0.0044988 0.115531
5.34121 1.26605 1.22291 0.122488 0.00164976 0.108588
5.1976 1.59031 1.02303 0.00492748 -0.0155747 -0.0417954
5.02962 1.75419 0.666753 -0.0263569 -0.0764629 0.0152812
5.22618 1.34722 1.1273 0.0256897 0.0216941 0.0268727
5.12647 1.85277 0.663043 -0.0289062 -0.0257623 0.0147958
4.85128 1.3313 0.822045 0.0340462 0.0173269 -0.0156157
5.07384 1.59029 0.934429 -0.034025 -0.0155586 -0.0525832
4.93783 1.329 1.04343 0.00812103 0.0166878 -0.0324462
4.77421 1.84064 0.851393 0.0322767 -0.0366993 -0.0276633
4.85569 1.54767 1.22747 0.0333314 0.00760319 0.113042
5.23869 1.56034 1.07708 0.0356396 0.00114437 -0.0120345
5.1117 1.71674 1.24245 -0.0320776 -0.0745683 0.133354
5.37028 1.55339 0.648026 0.160511 0.00474325 0.0120011
5.00515 1.34047 1.22577 -0.0186446 0.0198588 0.11134
4.95668 1.74912 0.670343 0.000419939 -0.0768335 0.0156817
4.76417 1.34635 0.697309 0.0295387 0.0214583 0.0166741
5.19249 1.28326 1.18083 0.0015756 0.00488408 0.0724919
5.00816 1.75167 0.935094 -0.0196936 -0.0766729 -0.0526741
5.17171 1.31574 0.93856 -0.0107189 0.0130232 -0.0531101
4.99083 1.53259 1.08352 -0.0133637 0.0146196 -0.0075112
5.06206 1.35612 0.786516 -0.0329285 0.0240399 -0.00184142
